src,dst,weight
Greenwich Village North,East Chelsea,15
Murray Hill,Clinton East,15
Financial District South,Battery Park City,15
East Harlem North,Garment District,15
Clinton West,Greenwich Village North,15
Lincoln Square West,Stuy Town/Peter Cooper Village,15
LaGuardia Airport,Murray Hill,15
UN/Turtle Bay South,East Harlem North,15
Lower East Side,Upper East Side South,15
Alphabet City,LaGuardia Airport,15
Lenox Hill West,SoHo,15
Washington Heights South,Battery Park City,15
Upper West Side North,Upper East Side North,15
Sutton Place/Turtle Bay North,Upper East Side South,15
Lenox Hill East,Lenox Hill West,15
Alphabet City,Murray Hill,15
Stuy Town/Peter Cooper Village,TriBeCa/Civic Center,15
UN/Turtle Bay South,Manhattan Valley,15
Garment District,Greenwich Village North,15
Lower East Side,Washington Heights South,15
East Harlem North,Newark Airport,15
Union Sq,Alphabet City,15
Gramercy,Hudson Sq,15
East Village,Murray Hill,15
UN/Turtle Bay South,JFK Airport,15
Yorkville East,Lincoln Square East,15
Meatpacking/West Village West,Newark Airport,15
Bloomingdale,UN/Turtle Bay South,15
Brooklyn Heights,Greenwich Village South,15
Seaport,Hudson Sq,15
Lenox Hill East,Greenwich Village North,15
Yorkville East,Battery Park City,15
Greenwich Village South,Midtown South,15
Brooklyn Heights,Lenox Hill East,15
West Village,Greenwich Village South,15
Sutton Place/Turtle Bay North,Midtown North,15
Hudson Sq,UN/Turtle Bay South,15
Astoria,Battery Park,15
Upper East Side South,Central Harlem,15
Bedford,Two Bridges/Seward Park,15
Battery Park City,Flatiron,15
Times Sq/Theatre District,UN/Turtle Bay South,15
Upper West Side North,Hudson Sq,14
Midtown East,Meatpacking/West Village West,14
Yorkville East,Seaport,14
Penn Station/Madison Sq West,West Village,14
West Chelsea/Hudson Yards,Yorkville East,14
Midtown East,Bloomingdale,14
East Village,Newark Airport,14
Bedford,East Village,14
West Village,Battery Park City,14
Astoria,Garment District,14
West Chelsea/Hudson Yards,JFK Airport,14
Murray Hill,Financial District South,14
Bloomingdale,Central Harlem,14
Central Harlem,Financial District North,14
Midtown North,Upper West Side South,14
Lincoln Square West,Flatiron,14
Union Sq,Murray Hill,14
Clinton West,Brooklyn Heights,14
Lincoln Square East,Alphabet City,14
Upper East Side North,Financial District South,14
Clinton East,World Trade Center,14
TriBeCa/Civic Center,Murray Hill,14
Times Sq/Theatre District,Washington Heights North,14
Stuy Town/Peter Cooper Village,Battery Park City,14
Greenwich Village South,Midtown North,14
Penn Station/Madison Sq West,Midtown Center,14
Upper West Side North,UN/Turtle Bay South,14
Washington Heights North,Midtown North,14
Flatiron,Financial District South,14
World Trade Center,Manhattan Valley,14
Lower East Side,East Harlem North,14
Murray Hill,Hudson Sq,14
Midtown South,Seaport,14
Gramercy,Lenox Hill West,14
Lincoln Square East,West Village,14
Battery Park,UN/Turtle Bay South,14
World Trade Center,Sutton Place/Turtle Bay North,14
Washington Heights South,Financial District South,14
World Trade Center,Upper West Side North,14
TriBeCa/Civic Center,Lincoln Square West,14
Upper East Side North,Times Sq/Theatre District,14
Newark Airport,Lower East Side,14
Astoria,UN/Turtle Bay South,14
Lenox Hill East,Hudson Sq,14
Bloomingdale,West Village,14
SoHo,Manhattan Valley,14
Battery Park City,Upper East Side North,14
Clinton East,East Village,14
East Chelsea,LaGuardia Airport,14
Bushwick South,Upper West Side North,14
Astoria,Bushwick South,14
Central Harlem,Gramercy,14
Stuy Town/Peter Cooper Village,Flatiron,14
Garment District,Flatiron,14
Union Sq,Flatiron,14
Clinton East,Sutton Place/Turtle Bay North,14
Garment District,West Chelsea/Hudson Yards,14
Newark Airport,Two Bridges/Seward Park,14
Midtown East,East Harlem North,14
Financial District North,Midtown Center,14
Bushwick South,Brooklyn Heights,14
West Chelsea/Hudson Yards,Greenwich Village North,14
East Village,Alphabet City,14
Murray Hill,West Village,14
Lower East Side,Battery Park,14
UN/Turtle Bay South,East Village,14
TriBeCa/Civic Center,SoHo,14
Meatpacking/West Village West,Upper East Side South,14
Manhattan Valley,LaGuardia Airport,14
Yorkville West,Financial District North,14
Bloomingdale,Midtown Center,14
Lincoln Square East,Two Bridges/Seward Park,14
Two Bridges/Seward Park,Midtown North,14
Murray Hill,Midtown North,14
LaGuardia Airport,Financial District South,14
World Trade Center,Flatiron,14
Astoria,Hudson Sq,14
Bloomingdale,Midtown South,14
Yorkville East,Midtown North,14
Alphabet City,TriBeCa/Civic Center,14
East Chelsea,Yorkville East,14
Brooklyn Heights,Flatiron,14
Greenwich Village North,West Chelsea/Hudson Yards,14
Greenwich Village North,Gramercy,14
SoHo,Washington Heights North,14
Midtown North,Garment District,14
Yorkville East,Astoria,14
Seaport,Yorkville West,14
Lenox Hill West,Midtown South,14
UN/Turtle Bay South,Lenox Hill West,14
Times Sq/Theatre District,SoHo,14
Midtown South,West Village,14
UN/Turtle Bay South,Times Sq/Theatre District,14
Central Harlem,Yorkville West,14
Union Sq,Newark Airport,14
Sutton Place/Turtle Bay North,Garment District,14
Midtown East,Alphabet City,14
SoHo,Meatpacking/West Village West,14
UN/Turtle Bay South,Bushwick South,14
Battery Park City,Two Bridges/Seward Park,14
Financial District South,Alphabet City,14
Yorkville East,Hudson Sq,14
Alphabet City,Stuy Town/Peter Cooper Village,14
Meatpacking/West Village West,Garment District,14
West Village,Upper West Side South,14
Hudson Sq,Washington Heights South,14
Alphabet City,SoHo,14
Penn Station/Madison Sq West,World Trade Center,14
East Chelsea,Lenox Hill West,14
Hudson Sq,LaGuardia Airport,14
Greenwich Village North,Alphabet City,14
World Trade Center,JFK Airport,14
Central Harlem,Lincoln Square West,14
Alphabet City,East Harlem North,14
Upper West Side South,Astoria,14
East Harlem North,Sutton Place/Turtle Bay North,14
Upper West Side South,Bushwick South,14
Central Harlem,Midtown North,14
Flatiron,Battery Park,14
Yorkville East,East Chelsea,14
Lenox Hill West,West Chelsea/Hudson Yards,14
East Chelsea,Penn Station/Madison Sq West,14
LaGuardia Airport,Bedford,14
Sutton Place/Turtle Bay North,East Chelsea,14
Gramercy,Greenwich Village South,14
TriBeCa/Civic Center,Upper West Side North,14
Greenwich Village North,UN/Turtle Bay South,14
Lenox Hill East,Manhattan Valley,14
Lower East Side,Central Harlem,14
Brooklyn Heights,Bushwick South,14
Lenox Hill East,Yorkville West,14
Yorkville East,Clinton West,14
Central Park,Central Park,14
Central Harlem,Clinton East,14
Penn Station/Madison Sq West,Washington Heights North,14
Lenox Hill East,Stuy Town/Peter Cooper Village,14
Lincoln Square East,Midtown Center,14
Hudson Sq,Seaport,14
Alphabet City,Lower East Side,14
Upper East Side North,JFK Airport,14
Upper West Side South,Midtown South,14
World Trade Center,West Chelsea/Hudson Yards,14
Lenox Hill West,Newark Airport,14
JFK Airport,Two Bridges/Seward Park,14
Alphabet City,Washington Heights North,14
East Harlem North,Alphabet City,14
Hudson Sq,Stuy Town/Peter Cooper Village,14
Clinton West,East Chelsea,14
Midtown Center,UN/Turtle Bay South,14
Washington Heights North,Union Sq,14
Upper West Side South,Battery Park City,14
Upper East Side South,Lenox Hill West,14
Central Park,Midtown South,14
Gramercy,Penn Station/Madison Sq West,14
Midtown South,Yorkville East,14
Meatpacking/West Village West,Lenox Hill West,14
Central Harlem,Financial District South,14
Midtown Center,East Chelsea,14
Lenox Hill West,West Village,14
Upper East Side North,Central Harlem,14
Midtown Center,Battery Park,14
Yorkville West,Midtown East,14
Union Sq,Stuy Town/Peter Cooper Village,14
Clinton West,Meatpacking/West Village West,14
Two Bridges/Seward Park,Clinton East,14
Meatpacking/West Village West,Battery Park,14
East Harlem North,Battery Park,14
Battery Park,Garment District,14
Hudson Sq,TriBeCa/Civic Center,14
Clinton East,Brooklyn Heights,14
East Harlem North,Murray Hill,14
Times Sq/Theatre District,Manhattan Valley,14
Alphabet City,Greenwich Village South,14
Midtown North,Lenox Hill West,14
Upper West Side North,Lower East Side,14
Midtown North,Times Sq/Theatre District,14
Battery Park City,Seaport,14
Two Bridges/Seward Park,East Village,14
Hudson Sq,West Chelsea/Hudson Yards,14
Washington Heights South,Upper East Side North,14
Midtown East,Midtown South,14
Seaport,East Chelsea,14
Upper East Side North,Union Sq,14
TriBeCa/Civic Center,UN/Turtle Bay South,14
Times Sq/Theatre District,LaGuardia Airport,14
World Trade Center,Financial District North,14
SoHo,SoHo,14
Sutton Place/Turtle Bay North,Midtown South,14
Lenox Hill West,Stuy Town/Peter Cooper Village,14
Two Bridges/Seward Park,Times Sq/Theatre District,14
Central Park,Battery Park,14
Newark Airport,Meatpacking/West Village West,14
Midtown Center,Central Harlem,14
Manhattan Valley,Lenox Hill West,14
Lenox Hill East,Two Bridges/Seward Park,14
Newark Airport,Yorkville West,14
Central Park,Seaport,14
Bloomingdale,Penn Station/Madison Sq West,14
Meatpacking/West Village West,Brooklyn Heights,14
Garment District,Yorkville East,14
Clinton West,Midtown South,14
East Harlem North,Meatpacking/West Village West,14
Lincoln Square East,Clinton East,14
LaGuardia Airport,Upper West Side South,14
Flatiron,Clinton West,14
Bedford,Upper East Side North,14
Washington Heights South,Union Sq,14
Lincoln Square East,Times Sq/Theatre District,14
Battery Park,World Trade Center,14
East Village,Lenox Hill West,14
Hudson Sq,Central Harlem,14
World Trade Center,Battery Park City,14
Financial District North,Midtown South,14
Two Bridges/Seward Park,Clinton West,14
Bushwick South,Yorkville East,14
East Chelsea,Greenwich Village South,14
Alphabet City,Bloomingdale,14
Clinton West,TriBeCa/Civic Center,14
Upper East Side South,Lincoln Square West,14
Two Bridges/Seward Park,Yorkville East,14
Bedford,Bloomingdale,14
Manhattan Valley,World Trade Center,14
Meatpacking/West Village West,Sutton Place/Turtle Bay North,14
Midtown North,East Village,14
Financial District South,Bushwick South,14
Yorkville West,Stuy Town/Peter Cooper Village,14
Greenwich Village North,Upper West Side South,14
Upper West Side North,Sutton Place/Turtle Bay North,14
SoHo,Central Harlem,14
Times Sq/Theatre District,Yorkville West,14
Battery Park City,Murray Hill,14
Upper West Side North,Central Park,14
Lenox Hill East,Washington Heights South,14
West Chelsea/Hudson Yards,Brooklyn Heights,14
West Chelsea/Hudson Yards,Upper East Side North,14
Times Sq/Theatre District,Lincoln Square West,14
World Trade Center,Greenwich Village South,14
Central Harlem,Murray Hill,14
Battery Park City,Times Sq/Theatre District,14
Greenwich Village North,Murray Hill,14
Sutton Place/Turtle Bay North,Yorkville West,14
Newark Airport,Murray Hill,14
Midtown North,Alphabet City,14
Sutton Place/Turtle Bay North,UN/Turtle Bay South,14
East Village,Upper East Side North,14
Times Sq/Theatre District,Clinton East,14
Midtown North,Midtown East,14
East Harlem North,Two Bridges/Seward Park,14
Washington Heights South,Murray Hill,14
Financial District North,Upper East Side South,14
Meatpacking/West Village West,Yorkville West,14
Financial District South,World Trade Center,14
Clinton West,East Village,14
Times Sq/Theatre District,Greenwich Village South,14
SoHo,Central Park,14
Yorkville West,Upper West Side South,14
Upper West Side South,Lincoln Square East,14
Seaport,Greenwich Village South,14
East Village,Midtown South,14
Clinton East,Bloomingdale,14
Alphabet City,Times Sq/Theatre District,14
Stuy Town/Peter Cooper Village,Financial District South,14
Union Sq,Clinton West,14
Bushwick South,World Trade Center,14
Midtown East,Central Harlem,14
Gramercy,Bloomingdale,14
Clinton East,East Chelsea,14
Times Sq/Theatre District,East Chelsea,14
Alphabet City,Greenwich Village North,14
East Chelsea,Midtown East,14
Bloomingdale,Washington Heights North,14
Midtown South,Central Harlem,14
Hudson Sq,Lenox Hill East,14
Penn Station/Madison Sq West,JFK Airport,14
Midtown South,Upper West Side South,14
Central Park,Bedford,14
Bushwick South,SoHo,14
Brooklyn Heights,West Chelsea/Hudson Yards,14
SoHo,Battery Park City,14
West Chelsea/Hudson Yards,Penn Station/Madison Sq West,14
Brooklyn Heights,Lower East Side,14
Garment District,Battery Park City,14
Hudson Sq,Clinton East,14
Seaport,SoHo,14
Stuy Town/Peter Cooper Village,Meatpacking/West Village West,14
Lower East Side,Upper West Side North,14
Upper West Side North,Bedford,14
Midtown North,Midtown North,14
Midtown North,East Harlem North,14
Astoria,Lenox Hill West,14
Midtown East,Bushwick South,14
Bushwick South,Manhattan Valley,14
Stuy Town/Peter Cooper Village,Upper West Side North,14
Gramercy,Murray Hill,14
Lenox Hill West,World Trade Center,14
Midtown South,East Chelsea,14
Flatiron,Lenox Hill West,14
Battery Park City,SoHo,14
Lincoln Square West,UN/Turtle Bay South,14
Midtown Center,JFK Airport,14
Flatiron,LaGuardia Airport,14
Yorkville East,Bushwick South,14
Union Sq,Times Sq/Theatre District,14
Washington Heights South,Lenox Hill West,14
Yorkville East,Meatpacking/West Village West,14
Yorkville East,Garment District,14
Hudson Sq,Yorkville East,14
Battery Park City,Yorkville East,14
TriBeCa/Civic Center,Washington Heights North,14
Lincoln Square East,Clinton West,14
Bedford,Yorkville West,14
Gramercy,Garment District,14
Yorkville East,West Chelsea/Hudson Yards,14
Midtown East,Bedford,14
Midtown North,Midtown South,14
Battery Park,Upper West Side North,14
Two Bridges/Seward Park,Washington Heights North,14
World Trade Center,East Chelsea,14
Lincoln Square East,Midtown South,14
Seaport,Washington Heights South,14
Hudson Sq,Gramercy,14
UN/Turtle Bay South,Two Bridges/Seward Park,14
Two Bridges/Seward Park,Upper East Side South,14
Clinton West,World Trade Center,14
Lenox Hill West,Central Harlem,14
Gramercy,Midtown Center,14
Washington Heights South,Washington Heights North,14
JFK Airport,Times Sq/Theatre District,14
Battery Park,Penn Station/Madison Sq West,14
Clinton West,Murray Hill,14
Lenox Hill West,Battery Park City,14
Lenox Hill West,Astoria,14
Astoria,Sutton Place/Turtle Bay North,14
Central Harlem,Times Sq/Theatre District,14
Manhattan Valley,Bloomingdale,14
Times Sq/Theatre District,Bedford,14
Seaport,LaGuardia Airport,14
Hudson Sq,East Village,14
East Village,Hudson Sq,14
Greenwich Village North,Clinton East,14
UN/Turtle Bay South,Upper West Side North,14
Lenox Hill East,Upper East Side North,14
Stuy Town/Peter Cooper Village,Midtown East,14
TriBeCa/Civic Center,Greenwich Village North,14
Upper East Side South,Midtown South,14
Astoria,Bloomingdale,14
Financial District North,World Trade Center,14
Garment District,Midtown East,14
Battery Park City,TriBeCa/Civic Center,14
Upper East Side North,Midtown South,14
Bushwick South,UN/Turtle Bay South,14
Battery Park City,East Chelsea,14
Yorkville East,Newark Airport,14
Seaport,Garment District,14
SoHo,Lincoln Square East,14
Upper East Side North,LaGuardia Airport,14
Two Bridges/Seward Park,Garment District,14
Clinton East,Financial District South,14
West Village,UN/Turtle Bay South,14
Washington Heights North,TriBeCa/Civic Center,14
JFK Airport,Newark Airport,14
Lincoln Square East,East Harlem North,14
Greenwich Village South,TriBeCa/Civic Center,14
East Chelsea,Lower East Side,14
Upper West Side North,Newark Airport,14
East Chelsea,Alphabet City,14
Meatpacking/West Village West,Washington Heights North,14
Lower East Side,West Village,14
Yorkville East,Sutton Place/Turtle Bay North,14
Meatpacking/West Village West,Lincoln Square East,14
Midtown South,Battery Park,14
Upper West Side North,Central Harlem,14
JFK Airport,Washington Heights North,14
Midtown North,Lenox Hill East,14
Gramercy,Lower East Side,14
World Trade Center,Clinton East,14
Meatpacking/West Village West,Stuy Town/Peter Cooper Village,14
Penn Station/Madison Sq West,East Chelsea,14
Lower East Side,Murray Hill,14
Central Park,Central Harlem,14
Midtown South,Washington Heights South,14
Battery Park City,East Village,13
Sutton Place/Turtle Bay North,Clinton West,13
Yorkville West,Lincoln Square West,13
East Harlem North,East Village,13
West Village,West Chelsea/Hudson Yards,13
UN/Turtle Bay South,Hudson Sq,13
Lower East Side,Midtown South,13
Greenwich Village North,Midtown South,13
Midtown North,Financial District North,13
Flatiron,Clinton East,13
Flatiron,Brooklyn Heights,13
East Chelsea,Times Sq/Theatre District,13
UN/Turtle Bay South,Yorkville East,13
LaGuardia Airport,Washington Heights South,13
Washington Heights South,Lincoln Square East,13
Financial District South,Brooklyn Heights,13
SoHo,World Trade Center,13
Upper West Side North,Brooklyn Heights,13
Murray Hill,East Chelsea,13
East Harlem North,Lower East Side,13
Greenwich Village South,Washington Heights South,13
West Chelsea/Hudson Yards,Battery Park City,13
Lower East Side,Brooklyn Heights,13
West Chelsea/Hudson Yards,West Chelsea/Hudson Yards,13
Midtown South,Clinton West,13
Lenox Hill West,Midtown Center,13
Union Sq,Penn Station/Madison Sq West,13
Financial District North,Newark Airport,13
World Trade Center,Two Bridges/Seward Park,13
Lower East Side,Battery Park City,13
East Village,Astoria,13
East Village,Central Park,13
Penn Station/Madison Sq West,Seaport,13
Central Park,World Trade Center,13
Greenwich Village South,West Village,13
Lincoln Square West,Garment District,13
Gramercy,East Harlem North,13
Lenox Hill West,Bloomingdale,13
West Village,Penn Station/Madison Sq West,13
Midtown South,Lincoln Square East,13
West Village,Bloomingdale,13
Times Sq/Theatre District,Penn Station/Madison Sq West,13
Murray Hill,Bloomingdale,13
Two Bridges/Seward Park,Lower East Side,13
Midtown East,Brooklyn Heights,13
Lower East Side,Greenwich Village North,13
JFK Airport,Murray Hill,13
Alphabet City,Garment District,13
Lenox Hill West,Yorkville West,13
Upper East Side North,Midtown Center,13
Union Sq,West Chelsea/Hudson Yards,13
East Chelsea,UN/Turtle Bay South,13
World Trade Center,Newark Airport,13
Newark Airport,Central Park,13
West Chelsea/Hudson Yards,Upper East Side South,13
Yorkville West,Manhattan Valley,13
Clinton West,Washington Heights North,13
Financial District South,Central Harlem,13
Sutton Place/Turtle Bay North,East Harlem North,13
West Village,Central Harlem,13
Upper West Side South,Washington Heights South,13
Central Park,West Chelsea/Hudson Yards,13
Yorkville East,East Harlem North,13
Lenox Hill West,Flatiron,13
East Chelsea,Sutton Place/Turtle Bay North,13
Upper East Side South,Gramercy,13
East Chelsea,Greenwich Village North,13
Times Sq/Theatre District,Central Park,13
Clinton East,Two Bridges/Seward Park,13
Lincoln Square East,Battery Park City,13
Gramercy,Battery Park City,13
Upper West Side North,Lenox Hill West,13
Bushwick South,Lenox Hill West,13
Flatiron,Flatiron,13
JFK Airport,Bedford,13
Clinton East,Meatpacking/West Village West,13
Manhattan Valley,Clinton East,13
Bedford,Times Sq/Theatre District,13
Upper West Side North,Meatpacking/West Village West,13
Brooklyn Heights,East Harlem North,13
Bedford,Brooklyn Heights,13
Battery Park City,Lower East Side,13
Union Sq,TriBeCa/Civic Center,13
West Chelsea/Hudson Yards,Hudson Sq,13
Midtown North,Hudson Sq,13
Manhattan Valley,Newark Airport,13
Greenwich Village North,Yorkville East,13
Bloomingdale,Battery Park,13
Midtown East,LaGuardia Airport,13
Gramercy,Times Sq/Theatre District,13
Upper East Side North,West Village,13
Hudson Sq,World Trade Center,13
Upper West Side North,Astoria,13
Sutton Place/Turtle Bay North,JFK Airport,13
Upper West Side North,Stuy Town/Peter Cooper Village,13
Upper West Side North,East Village,13
Seaport,Midtown North,13
Union Sq,Bloomingdale,13
East Village,Battery Park City,13
Seaport,UN/Turtle Bay South,13
Washington Heights South,Bushwick South,13
Clinton West,Midtown East,13
Upper East Side South,Upper East Side North,13
Newark Airport,East Village,13
Sutton Place/Turtle Bay North,Yorkville East,13
Battery Park,SoHo,13
Bushwick South,Lincoln Square East,13
Lincoln Square West,Bloomingdale,13
Gramercy,World Trade Center,13
Central Park,Financial District South,13
Lower East Side,Lenox Hill West,13
Midtown East,Central Park,13
Central Park,Greenwich Village South,13
Midtown South,Midtown South,13
Midtown North,Bloomingdale,13
TriBeCa/Civic Center,East Harlem North,13
Murray Hill,Clinton West,13
Midtown South,Meatpacking/West Village West,13
Battery Park,Two Bridges/Seward Park,13
Brooklyn Heights,Clinton West,13
Midtown South,Greenwich Village North,13
Washington Heights North,World Trade Center,13
West Chelsea/Hudson Yards,East Harlem North,13
East Chelsea,Financial District South,13
Stuy Town/Peter Cooper Village,Greenwich Village South,13
Upper East Side South,Battery Park,13
Washington Heights North,Seaport,13
Bedford,Washington Heights North,13
Midtown South,Midtown North,13
Lincoln Square West,Midtown South,13
Newark Airport,Union Sq,13
Lenox Hill West,East Village,13
Battery Park,East Village,13
Greenwich Village North,Battery Park City,13
Upper West Side South,Upper West Side North,13
Hudson Sq,Bloomingdale,13
East Harlem North,Times Sq/Theatre District,13
Greenwich Village South,East Village,13
West Village,LaGuardia Airport,13
Bloomingdale,Times Sq/Theatre District,13
East Harlem North,Battery Park City,13
Clinton East,East Harlem North,13
Midtown North,Penn Station/Madison Sq West,13
LaGuardia Airport,Upper East Side South,13
Alphabet City,Manhattan Valley,13
Two Bridges/Seward Park,Union Sq,13
Battery Park City,Bloomingdale,13
Yorkville West,Upper East Side South,13
UN/Turtle Bay South,Lower East Side,13
Midtown Center,Penn Station/Madison Sq West,13
Financial District South,Times Sq/Theatre District,13
Financial District South,Newark Airport,13
Flatiron,Seaport,13
JFK Airport,Bloomingdale,13
Upper West Side South,Midtown North,13
Flatiron,Lincoln Square West,13
Upper East Side North,Astoria,13
Battery Park City,Battery Park City,13
West Chelsea/Hudson Yards,World Trade Center,13
Hudson Sq,East Chelsea,13
West Village,SoHo,13
SoHo,Lower East Side,13
Lenox Hill West,Lincoln Square East,13
Lincoln Square East,Yorkville West,13
Bedford,Greenwich Village North,13
Midtown South,Garment District,13
East Chelsea,Meatpacking/West Village West,13
Astoria,Upper East Side North,13
Upper West Side South,Financial District North,13
Upper East Side North,Upper East Side North,13
Hudson Sq,Murray Hill,13
Hudson Sq,Financial District South,13
Sutton Place/Turtle Bay North,Penn Station/Madison Sq West,13
East Chelsea,Bushwick South,13
Lower East Side,Bedford,13
Battery Park,Bushwick South,13
Midtown Center,Yorkville West,13
Financial District South,Financial District North,13
Midtown East,Lincoln Square West,13
West Village,Greenwich Village North,13
Times Sq/Theatre District,Sutton Place/Turtle Bay North,13
Battery Park City,Greenwich Village South,13
Midtown East,Financial District South,13
Flatiron,West Chelsea/Hudson Yards,13
Battery Park City,World Trade Center,13
Midtown East,Washington Heights North,13
Yorkville West,Upper West Side North,13
Financial District North,Upper West Side South,13
Greenwich Village South,Yorkville East,13
Two Bridges/Seward Park,Sutton Place/Turtle Bay North,13
West Village,West Village,13
Two Bridges/Seward Park,SoHo,13
West Chelsea/Hudson Yards,West Village,13
Stuy Town/Peter Cooper Village,Gramercy,13
Times Sq/Theatre District,Midtown East,13
Greenwich Village South,Meatpacking/West Village West,13
Bloomingdale,Sutton Place/Turtle Bay North,13
Stuy Town/Peter Cooper Village,Financial District North,13
Upper West Side North,Greenwich Village North,13
Lenox Hill East,Financial District North,13
East Village,Brooklyn Heights,13
Clinton East,Greenwich Village South,13
Lower East Side,Astoria,13
Upper West Side North,Two Bridges/Seward Park,13
Yorkville West,West Chelsea/Hudson Yards,13
Sutton Place/Turtle Bay North,Manhattan Valley,13
Clinton West,LaGuardia Airport,13
Bloomingdale,Lincoln Square West,13
Bedford,Murray Hill,13
Midtown South,Battery Park City,13
Washington Heights North,Lincoln Square West,13
SoHo,Midtown South,13
Meatpacking/West Village West,Clinton East,13
Financial District South,Hudson Sq,13
SoHo,Gramercy,13
Murray Hill,Bushwick South,13
Meatpacking/West Village West,TriBeCa/Civic Center,13
Washington Heights South,Greenwich Village North,13
Penn Station/Madison Sq West,Midtown South,13
Garment District,Garment District,13
Lenox Hill West,Two Bridges/Seward Park,13
Washington Heights South,World Trade Center,13
Battery Park,Battery Park,13
LaGuardia Airport,JFK Airport,13
Upper East Side North,Midtown East,13
Yorkville East,Upper West Side North,13
East Harlem North,JFK Airport,13
Upper East Side North,Hudson Sq,13
Upper West Side North,Clinton East,13
West Village,Bushwick South,13
Lower East Side,Garment District,13
Hudson Sq,Midtown East,13
TriBeCa/Civic Center,Upper East Side South,13
Manhattan Valley,Meatpacking/West Village West,13
Manhattan Valley,Hudson Sq,13
Upper East Side North,Lincoln Square East,13
Midtown East,East Village,13
Astoria,Financial District North,13
Alphabet City,Brooklyn Heights,13
Midtown South,Union Sq,13
Yorkville West,Newark Airport,13
World Trade Center,Upper East Side South,13
Lenox Hill West,TriBeCa/Civic Center,13
Garment District,Clinton East,13
Midtown Center,Meatpacking/West Village West,13
Hudson Sq,Times Sq/Theatre District,13
Washington Heights North,Upper West Side North,13
East Village,UN/Turtle Bay South,13
East Village,Bloomingdale,13
Clinton West,UN/Turtle Bay South,13
Bushwick South,Clinton West,13
Lenox Hill West,Lenox Hill West,13
Flatiron,Manhattan Valley,13
Midtown Center,Bushwick South,13
Hudson Sq,West Village,13
Gramercy,Clinton East,13
Financial District South,Murray Hill,13
Penn Station/Madison Sq West,Bushwick South,13
Manhattan Valley,Upper East Side South,13
Murray Hill,Upper West Side North,13
Times Sq/Theatre District,Union Sq,13
Washington Heights North,Stuy Town/Peter Cooper Village,13
Bloomingdale,Lincoln Square East,13
Seaport,Gramercy,13
UN/Turtle Bay South,Alphabet City,13
Stuy Town/Peter Cooper Village,Lenox Hill East,13
Penn Station/Madison Sq West,Times Sq/Theatre District,13
Financial District South,Financial District South,13
Washington Heights North,Penn Station/Madison Sq West,13
Central Park,Gramercy,13
Upper East Side North,Meatpacking/West Village West,13
Battery Park,Washington Heights South,13
Clinton West,East Harlem North,13
Lower East Side,Stuy Town/Peter Cooper Village,13
Sutton Place/Turtle Bay North,Washington Heights North,13
Garment District,Bedford,13
Two Bridges/Seward Park,Battery Park City,13
Union Sq,Yorkville East,13
Gramercy,Midtown North,13
Sutton Place/Turtle Bay North,Midtown Center,13
Alphabet City,Seaport,13
Union Sq,East Village,13
Financial District South,West Village,13
Greenwich Village North,Lower East Side,13
Flatiron,World Trade Center,13
Lincoln Square West,Upper West Side South,13
Stuy Town/Peter Cooper Village,Lower East Side,13
Gramercy,East Village,13
Meatpacking/West Village West,Lenox Hill East,13
JFK Airport,Alphabet City,13
SoHo,Bushwick South,13
Midtown Center,Midtown East,13
Murray Hill,Seaport,13
Greenwich Village South,Upper East Side South,13
Yorkville West,UN/Turtle Bay South,13
Lenox Hill East,Gramercy,13
Gramercy,Clinton West,13
Greenwich Village South,Flatiron,13
Clinton West,West Village,13
Battery Park City,Greenwich Village North,13
Battery Park,Washington Heights North,13
JFK Airport,Lower East Side,13
Central Harlem,Clinton West,13
Lower East Side,Manhattan Valley,13
Astoria,Lincoln Square East,13
Upper West Side South,Newark Airport,13
SoHo,Yorkville West,13
Bloomingdale,Battery Park City,13
Bushwick South,Washington Heights South,13
Alphabet City,Financial District North,13
Brooklyn Heights,JFK Airport,13
Newark Airport,Financial District South,13
Greenwich Village North,Upper East Side North,13
Bloomingdale,Stuy Town/Peter Cooper Village,13
Upper West Side North,West Village,13
Newark Airport,SoHo,13
East Chelsea,Battery Park City,13
Newark Airport,Times Sq/Theatre District,13
Murray Hill,TriBeCa/Civic Center,13
Astoria,Clinton West,13
Greenwich Village North,Newark Airport,13
Clinton East,Midtown East,13
Lincoln Square East,Seaport,13
Financial District North,Hudson Sq,13
Midtown East,Greenwich Village South,13
Lenox Hill East,UN/Turtle Bay South,13
Central Harlem,Seaport,13
Two Bridges/Seward Park,Astoria,13
SoHo,JFK Airport,13
Astoria,Washington Heights South,13
Two Bridges/Seward Park,Penn Station/Madison Sq West,13
Greenwich Village North,World Trade Center,13
Bedford,West Village,13
Two Bridges/Seward Park,LaGuardia Airport,13
Bushwick South,Sutton Place/Turtle Bay North,13
Clinton West,Penn Station/Madison Sq West,13
Alphabet City,Meatpacking/West Village West,13
Gramercy,West Village,13
Newark Airport,East Harlem North,13
Upper West Side South,Midtown Center,13
Upper East Side North,West Chelsea/Hudson Yards,13
Hudson Sq,Upper West Side North,13
Flatiron,Murray Hill,13
Midtown Center,Murray Hill,13
Financial District North,Penn Station/Madison Sq West,13
Washington Heights South,Times Sq/Theatre District,13
Murray Hill,Lincoln Square West,13
Upper East Side South,East Chelsea,13
Murray Hill,Murray Hill,13
Meatpacking/West Village West,Clinton West,13
Bushwick South,JFK Airport,13
